PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,TICKER
27959,20170803,252,0.90%,-0.0001,0.728,-0.6334,-0.4445,0.79%,0.90%,23.72%,0.69%,DUK
27959,20170804,252,-0.03%,-0.0001,0.728,-0.6327,-0.444,0.79%,0.90%,23.71%,0.13%,DUK
27959,20170807,252,-0.25%,-0.0001,0.7393,-0.6322,-0.4256,0.78%,0.90%,23.67%,-0.69%,DUK
27959,20170808,252,0.39%,-0.0001,0.7386,-0.6322,-0.4301,0.78%,0.90%,23.80%,0.61%,DUK
27959,20170809,252,-0.46%,-0.0002,0.7358,-0.6207,-0.4304,0.79%,0.90%,23.53%,-0.89%,DUK
27959,20170810,252,0.22%,-0.0001,0.7046,-0.6122,-0.4251,0.79%,0.90%,22.82%,1.24%,DUK
27959,20170811,252,-0.80%,-0.0001,0.7044,-0.6179,-0.4106,0.79%,0.90%,22.43%,-1.17%,DUK
27959,20170814,252,0.49%,-0.0001,0.7027,-0.6165,-0.4117,0.79%,0.90%,22.51%,-0.04%,DUK
27959,20170815,252,0.89%,0,0.7029,-0.6023,-0.4039,0.78%,0.89%,22.49%,0.43%,DUK
27959,20170816,252,0.36%,0,0.6937,-0.6025,-0.3948,0.78%,0.89%,22.12%,-0.04%,DUK
27959,20170817,252,-0.51%,0,0.6755,-0.5833,-0.3999,0.78%,0.88%,22.02%,0.44%,DUK
27959,20170818,252,0.59%,0,0.6711,-0.5896,-0.4035,0.77%,0.88%,22.30%,0.86%,DUK
27959,20170821,252,0.23%,0,0.6662,-0.584,-0.4061,0.77%,0.87%,22.37%,-0.06%,DUK
27959,20170822,252,-0.03%,0,0.6527,-0.5787,-0.4012,0.77%,0.87%,22.01%,-0.86%,DUK
27959,20170823,252,0.38%,0,0.6463,-0.571,-0.3972,0.77%,0.87%,21.66%,0.81%,DUK
27959,20170824,252,-0.13%,0,0.6456,-0.5643,-0.3989,0.77%,0.87%,21.68%,0.38%,DUK
27959,20170825,252,0.53%,0,0.6483,-0.566,-0.3969,0.77%,0.87%,21.65%,0.71%,DUK
27959,20170828,252,0.22%,0.0001,0.6386,-0.5554,-0.4008,0.76%,0.86%,21.85%,0.08%,DUK
27959,20170829,252,0.09%,0.0001,0.6355,-0.5534,-0.4022,0.76%,0.86%,21.78%,-0.05%,DUK
27959,20170830,252,-0.25%,0.0001,0.626,-0.5481,-0.3954,0.76%,0.86%,21.37%,-0.71%,DUK
27959,20170831,252,0.02%,0.0001,0.6248,-0.549,-0.3938,0.76%,0.86%,21.33%,-0.28%,DUK
27959,20170901,252,-0.24%,0.0001,0.624,-0.5472,-0.3979,0.76%,0.86%,21.45%,-0.03%,DUK
27959,20170905,252,0.37%,0.0001,0.6116,-0.5455,-0.4091,0.76%,0.85%,21.57%,0.55%,DUK
27959,20170906,252,-0.48%,0.0001,0.6077,-0.5443,-0.4064,0.76%,0.85%,21.34%,-0.62%,DUK
27959,20170907,252,0.40%,0.0001,0.6064,-0.5411,-0.4081,0.76%,0.85%,21.27%,0.15%,DUK
27959,20170908,252,0.50%,0.0001,0.606,-0.5401,-0.4095,0.76%,0.85%,21.25%,0.76%,DUK
27959,20170911,252,0.64%,0.0003,0.5214,-0.5204,-0.3889,0.74%,0.82%,18.51%,0.18%,DUK
27959,20170912,252,-1.20%,0.0002,0.4988,-0.5128,-0.3922,0.74%,0.82%,17.68%,-1.03%,DUK
27959,20170913,252,-0.58%,0.0002,0.4943,-0.5129,-0.3946,0.74%,0.82%,17.61%,-0.34%,DUK
27959,20170914,252,0.84%,0.0002,0.4905,-0.5102,-0.3995,0.75%,0.82%,17.58%,0.84%,DUK
27959,20170915,252,-0.23%,0.0002,0.4911,-0.511,-0.3999,0.75%,0.82%,17.51%,-0.14%,DUK
27959,20170918,252,-1.42%,0.0001,0.5006,-0.5278,-0.3973,0.75%,0.83%,17.82%,-1.27%,DUK
27959,20170919,252,-0.09%,0.0001,0.5055,-0.5371,-0.4003,0.74%,0.82%,18.31%,-0.18%,DUK
27959,20170920,252,-0.91%,0.0001,0.5068,-0.5413,-0.4083,0.74%,0.83%,18.65%,-0.67%,DUK
27959,20170921,252,-0.05%,0.0001,0.4715,-0.5273,-0.4119,0.74%,0.81%,18.39%,0.29%,DUK
27959,20170922,252,-1.07%,0,0.4703,-0.5439,-0.4104,0.74%,0.82%,18.73%,-0.85%,DUK
27959,20170925,252,1.06%,0,0.4568,-0.5309,-0.3975,0.74%,0.82%,17.76%,1.59%,DUK
27959,20170926,252,-0.38%,0.0001,0.4525,-0.5306,-0.3987,0.74%,0.82%,17.77%,-0.14%,DUK
27959,20170927,252,-1.04%,0.0001,0.4712,-0.5506,-0.4097,0.74%,0.82%,18.98%,-0.52%,DUK
27959,20170928,252,0.38%,0.0001,0.4718,-0.5499,-0.4085,0.74%,0.82%,18.87%,0.39%,DUK
27959,20170929,252,-0.40%,0.0001,0.457,-0.5459,-0.4007,0.74%,0.82%,18.30%,-0.75%,DUK
27959,20171002,252,0.52%,0.0001,0.4628,-0.5366,-0.3995,0.74%,0.82%,18.08%,0.80%,DUK
27959,20171003,252,-0.60%,0.0002,0.4524,-0.5319,-0.401,0.74%,0.81%,18.00%,-0.76%,DUK
27959,20171004,252,0.74%,0.0003,0.4331,-0.5242,-0.3996,0.73%,0.81%,17.95%,0.39%,DUK
27959,20171005,252,-0.21%,0.0003,0.429,-0.5186,-0.399,0.73%,0.80%,17.74%,-0.48%,DUK
27959,20171006,252,0.42%,0.0003,0.4284,-0.5186,-0.4,0.73%,0.80%,17.75%,0.30%,DUK
27959,20171009,252,0.21%,0.0003,0.4245,-0.5234,-0.3972,0.73%,0.80%,17.82%,0.15%,DUK
27959,20171010,252,1.14%,0.0003,0.4252,-0.5308,-0.3898,0.73%,0.81%,17.69%,1.20%,DUK
27959,20171011,252,0.70%,0.0004,0.4002,-0.5325,-0.3807,0.73%,0.80%,17.34%,0.45%,DUK
27959,20171012,252,0.67%,0.0004,0.3966,-0.526,-0.3893,0.73%,0.80%,17.47%,0.56%,DUK
27959,20171013,252,-0.21%,0.0003,0.4005,-0.5151,-0.381,0.72%,0.79%,17.01%,-0.31%,DUK
27959,20171016,252,0.39%,0.0004,0.4024,-0.5239,-0.372,0.72%,0.79%,17.09%,0.29%,DUK
27959,20171017,252,0.44%,0.0004,0.4066,-0.5256,-0.3737,0.72%,0.79%,17.26%,0.16%,DUK
27959,20171018,252,-0.54%,0.0003,0.4059,-0.5266,-0.3747,0.72%,0.79%,17.27%,-0.37%,DUK
27959,20171019,252,0.93%,0.0003,0.4063,-0.5309,-0.3789,0.72%,0.79%,17.45%,0.78%,DUK
27959,20171020,252,0.09%,0.0003,0.4067,-0.5308,-0.3788,0.72%,0.79%,17.47%,-0.08%,DUK
27959,20171023,252,-0.44%,0.0003,0.4104,-0.5303,-0.3837,0.72%,0.79%,17.65%,-0.43%,DUK
27959,20171024,252,0.51%,0.0003,0.4103,-0.5323,-0.3798,0.72%,0.79%,17.54%,0.52%,DUK
27959,20171025,252,-0.27%,0.0003,0.412,-0.5314,-0.3807,0.72%,0.79%,17.60%,-0.02%,DUK
27959,20171026,252,-0.44%,0.0003,0.4113,-0.5293,-0.3837,0.72%,0.79%,17.61%,-0.41%,DUK
27959,20171027,252,0.68%,0.0003,0.4094,-0.5391,-0.3761,0.72%,0.79%,17.92%,-0.05%,DUK
27959,20171030,252,0.18%,0.0003,0.413,-0.5384,-0.3772,0.72%,0.79%,18.00%,-0.07%,DUK
27959,20171031,252,0.23%,0.0003,0.4138,-0.5324,-0.3822,0.71%,0.79%,18.33%,0.49%,DUK
27959,20171101,252,-0.51%,0.0003,0.3868,-0.52,-0.3777,0.71%,0.78%,17.93%,-0.91%,DUK
27959,20171102,252,0.80%,0.0004,0.3779,-0.5258,-0.3663,0.71%,0.78%,17.67%,0.93%,DUK
27959,20171103,252,-0.05%,0.0004,0.3733,-0.5184,-0.3628,0.71%,0.78%,17.39%,-0.65%,DUK
27959,20171106,252,-0.73%,0.0004,0.368,-0.5088,-0.3695,0.71%,0.78%,17.25%,-0.57%,DUK
27959,20171107,252,1.70%,0.0004,0.299,-0.5043,-0.362,0.70%,0.77%,16.99%,0.93%,DUK
27959,20171108,252,-0.15%,0.0004,0.2954,-0.5035,-0.3574,0.70%,0.77%,16.82%,-0.36%,DUK
27959,20171109,252,0.45%,0.0005,0.3176,-0.4557,-0.3347,0.69%,0.75%,14.74%,0.66%,DUK
27959,20171110,252,-0.83%,0.0005,0.3051,-0.425,-0.2817,0.68%,0.73%,11.90%,-0.95%,DUK
27959,20171113,252,1.11%,0.0005,0.3322,-0.4906,-0.2763,0.68%,0.73%,12.95%,0.96%,DUK
27959,20171114,252,1.35%,0.0006,0.3219,-0.4849,-0.2638,0.68%,0.73%,12.03%,1.36%,DUK
27959,20171115,252,-0.56%,0.0005,0.295,-0.4577,-0.2684,0.68%,0.72%,11.39%,-0.36%,DUK
27959,20171116,252,-0.53%,0.0006,0.2757,-0.4496,-0.2742,0.67%,0.72%,11.43%,-0.59%,DUK
27959,20171117,252,-0.77%,0.0006,0.284,-0.4573,-0.2766,0.67%,0.72%,11.89%,-0.32%,DUK
27959,20171120,252,0.16%,0.0006,0.2829,-0.4537,-0.2767,0.67%,0.72%,11.68%,0.35%,DUK
27959,20171121,252,0.17%,0.0005,0.2685,-0.4435,-0.2775,0.67%,0.71%,11.40%,0.06%,DUK
27959,20171122,252,-0.20%,0.0006,0.2688,-0.4397,-0.2736,0.67%,0.71%,11.13%,-0.16%,DUK
27959,20171124,252,0.17%,0.0006,0.2675,-0.4364,-0.2727,0.67%,0.71%,10.99%,0.00%,DUK
27959,20171127,252,0.11%,0.0005,0.26,-0.4318,-0.2696,0.67%,0.71%,10.81%,-0.03%,DUK
27959,20171128,252,0.11%,0.0004,0.2831,-0.4123,-0.2751,0.66%,0.69%,10.93%,0.24%,DUK
27959,20171129,252,0.02%,0.0005,0.2809,-0.4112,-0.2668,0.66%,0.69%,10.77%,0.43%,DUK
27959,20171130,252,0.20%,0.0006,0.2489,-0.4294,-0.1533,0.63%,0.66%,9.38%,-0.40%,DUK
27959,20171201,252,-0.50%,0.0007,0.2419,-0.4458,-0.1088,0.62%,0.65%,9.27%,-0.55%,DUK
27959,20171204,252,-0.12%,0.0006,0.2442,-0.4467,-0.1091,0.62%,0.65%,9.37%,-0.13%,DUK
27959,20171205,252,-0.74%,0.0006,0.2488,-0.4521,-0.1087,0.62%,0.65%,9.40%,-0.87%,DUK
27959,20171206,252,0.40%,0.0005,0.2478,-0.4578,-0.1104,0.62%,0.65%,9.63%,0.15%,DUK
27959,20171207,252,-0.46%,0.0005,0.2275,-0.4449,-0.1132,0.62%,0.65%,9.02%,-0.47%,DUK
27959,20171208,252,0.17%,0.0005,0.2278,-0.4543,-0.1171,0.62%,0.65%,9.24%,-0.16%,DUK
27959,20171211,252,0.36%,0.0005,0.214,-0.4421,-0.1205,0.62%,0.65%,9.04%,0.10%,DUK
27959,20171212,252,-1.40%,0.0004,0.2053,-0.4106,-0.1378,0.62%,0.65%,8.08%,-1.60%,DUK
27959,20171213,252,0.49%,0.0004,0.1873,-0.3861,-0.1442,0.62%,0.65%,7.42%,0.66%,DUK
27959,20171214,252,0.00%,0.0005,0.1465,-0.3786,-0.1486,0.60%,0.63%,7.86%,-0.21%,DUK
27959,20171215,252,0.32%,0.0005,0.1483,-0.3793,-0.152,0.60%,0.63%,7.98%,0.44%,DUK
27959,20171218,252,-1.48%,0.0004,0.1461,-0.3974,-0.1519,0.61%,0.64%,8.54%,-1.27%,DUK
27959,20171219,252,-1.77%,0.0003,0.1559,-0.3946,-0.1485,0.62%,0.64%,8.06%,-1.91%,DUK
27959,20171220,252,-0.61%,0.0003,0.1576,-0.4018,-0.1537,0.62%,0.65%,8.37%,-0.47%,DUK
27959,20171221,252,-0.22%,0.0003,0.1553,-0.4052,-0.1516,0.62%,0.64%,8.51%,-0.06%,DUK
27959,20171222,252,-0.15%,0.0002,0.1566,-0.3935,-0.1561,0.62%,0.64%,8.23%,-0.27%,DUK
27959,20171226,252,-0.68%,0.0002,0.1606,-0.398,-0.1566,0.62%,0.64%,8.34%,-0.55%,DUK
27959,20171227,252,0.45%,0.0002,0.1612,-0.3983,-0.1571,0.62%,0.64%,8.35%,0.36%,DUK
27959,20171228,252,0.01%,0.0003,0.1496,-0.3959,-0.1548,0.62%,0.64%,8.31%,0.03%,DUK
27959,20171229,252,0.14%,0.0002,0.1539,-0.4031,-0.1486,0.61%,0.64%,8.53%,0.11%,DUK
27959,20180102,252,-1.05%,0.0002,0.1306,-0.4014,-0.1407,0.61%,0.64%,8.38%,-1.08%,DUK
27959,20180103,252,-0.31%,0.0002,0.1207,-0.3928,-0.139,0.61%,0.64%,8.14%,-0.58%,DUK
27959,20180104,252,-0.78%,0.0002,0.1099,-0.3853,-0.1427,0.62%,0.64%,7.93%,-0.91%,DUK
27959,20180105,252,-0.46%,0.0002,0.0979,-0.3802,-0.1431,0.62%,0.64%,7.74%,-0.71%,DUK
27959,20180108,252,0.32%,0.0002,0.107,-0.3928,-0.1452,0.62%,0.64%,8.07%,0.24%,DUK
27959,20180109,252,-1.17%,0.0002,0.0909,-0.3803,-0.1674,0.62%,0.64%,8.24%,-1.33%,DUK
27959,20180110,252,-1.39%,0.0001,0.1009,-0.3899,-0.1836,0.62%,0.65%,8.52%,-1.26%,DUK
27959,20180111,252,-1.04%,0.0001,0.0915,-0.3943,-0.1924,0.62%,0.65%,9.13%,-0.63%,DUK
27959,20180112,252,-0.48%,0,0.0812,-0.3837,-0.1918,0.62%,0.65%,8.76%,-0.63%,DUK
27959,20180116,252,-0.61%,0,0.083,-0.3623,-0.1951,0.63%,0.65%,8.12%,-0.97%,DUK
27959,20180117,252,-0.01%,0,0.0799,-0.3618,-0.1952,0.63%,0.65%,8.03%,-0.13%,DUK
27959,20180118,252,-1.36%,-0.0001,0.0811,-0.3484,-0.1921,0.63%,0.66%,7.40%,-1.58%,DUK
27959,20180119,252,-0.67%,0,0.077,-0.36,-0.1899,0.63%,0.66%,7.81%,-0.41%,DUK
27959,20180122,252,0.17%,-0.0001,0.075,-0.3591,-0.1908,0.63%,0.66%,7.86%,-0.04%,DUK
27959,20180123,252,0.99%,0,0.0727,-0.3544,-0.1983,0.63%,0.66%,7.85%,0.95%,DUK
27959,20180124,252,-0.60%,-0.0001,0.0658,-0.3448,-0.2123,0.64%,0.66%,7.85%,-0.80%,DUK
27959,20180125,252,2.15%,0,0.062,-0.3333,-0.2283,0.65%,0.68%,7.63%,2.10%,DUK
27959,20180126,252,-0.09%,0,0.0471,-0.322,-0.2236,0.65%,0.68%,7.43%,-0.50%,DUK
27959,20180129,252,-1.95%,-0.0001,0.0775,-0.3358,-0.2224,0.66%,0.69%,7.27%,-1.98%,DUK
27959,20180130,252,0.48%,0,0.062,-0.3279,-0.2239,0.66%,0.69%,7.15%,0.55%,DUK
27959,20180131,252,1.08%,-0.0001,0.0862,-0.3891,-0.1995,0.65%,0.68%,8.39%,0.86%,DUK
27959,20180201,252,-2.11%,-0.0001,0.0906,-0.3945,-0.2171,0.66%,0.69%,8.81%,-1.98%,DUK
27959,20180202,252,-0.40%,-0.0002,0.1015,-0.398,-0.2148,0.66%,0.69%,8.81%,-0.26%,DUK
27959,20180205,252,-0.94%,-0.0002,0.1215,-0.4115,-0.2143,0.66%,0.69%,9.42%,-0.35%,DUK
